ego_id,ego_label,community_source,seed_strategy,budget_requested,budget_sanitized,budget_k,greedy_pool_size,p,propagation_regime,propagation_mode,propagation_multiplier,severity_regime,severity_score,base_harm_weight,method,mean_infected,std_infected,mean_total_harm,std_total_harm,mean_harm_per_node,mean_worst_community_infection_rate,mean_worst_community_harm_rate,runtime_seconds,n_runs_eval,n_runs_greedy_oracle,blocked_nodes_json,seeds_json
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,0.9,low,0.15,1.0,fairness_aware_greedy_blocking,35.625,7.546629241139769,35.625,7.546629241139769,0.14905857740585773,0.3186848958333333,0.3186848958333333,0.01914,32,32,"[14306161, 17284200, 17753033, 19562228, 20155652, 39974930, 41596377, 42534611, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,0.9,low,0.15,1.0,harm_aware_greedy_blocking,35.0625,7.228695059142039,35.0625,7.228695059142039,0.14670502092050208,0.27994791666666663,0.27994791666666663,0.01906,32,32,"[14306161, 17020962, 17284200, 17753033, 19562228, 21447363, 39974930, 41596377, 168767461, 171005817]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,0.9,low,0.15,1.0,harm_aware_resilience_greedy_blocking,35.1875,7.324010447306725,35.1875,7.324010447306725,0.14722803347280336,0.29329427083333337,0.29329427083333337,0.02041,32,32,"[17020962, 17753033, 19562228, 19705747, 20155652, 39974930, 41596377, 42534611, 168767461, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.0,medium,0.49,1.6,greedy_blocking,40.375,8.58637330027136,64.6,13.738197280434159,0.27029288702928866,0.369047619047619,0.5904761904761905,0.02052,32,32,"[14306161, 17020962, 17753033, 19562228, 19705747, 20155652, 21447363, 24447643, 42534611, 171005817]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.0,medium,0.49,1.6,fairness_aware_greedy_blocking,40.4375,8.77289631065017,64.7,14.036634097040247,0.27071129707112973,0.3488498263888889,0.5581597222222221,0.02142,32,32,"[17020962, 17284200, 17753033, 19562228, 20155652, 39974930, 41596377, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.0,medium,0.49,1.6,harm_aware_greedy_blocking,40.53125,9.041068931235666,64.85,14.465710289977045,0.27133891213389116,0.38693576388888895,0.6190972222222222,0.02116,32,32,"[14306161, 17753033, 19562228, 19705747, 20155652, 39974930, 41596377, 42534611, 102349515, 171005817]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.0,medium,0.49,1.6,harm_aware_resilience_greedy_blocking,40.28125,8.901737325901884,64.45000000000002,14.242779721442993,0.2696652719665273,0.3424611262077295,0.5479378019323672,0.02183,32,32,"[14306161, 17020962, 17753033, 18713254, 19705747, 20155652, 39974930, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.1,high,0.695,2.4,greedy_blocking,44.96875,11.125339791838762,107.9250000000001,26.700815500413093,0.45156903765690415,0.3812518870772947,0.9150045289855072,0.02182,32,32,"[14306161, 17753033, 19562228, 24447643, 39974930, 41596377, 102349515, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.1,high,0.695,2.4,fairness_aware_greedy_blocking,44.9375,10.595000342523095,107.85000000000008,25.428000822055488,0.4512552301255233,0.3327287946428571,0.7985491071428571,0.02238,32,32,"[14230524, 17020962, 17753033, 18713254, 19562228, 39974930, 41596377, 42534611, 102349515, 168767461]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.1,high,0.695,2.4,harm_aware_greedy_blocking,45.34375,9.901480420428506,108.8250000000001,23.763553009028467,0.45533472803347325,0.38693576388888884,0.9286458333333332,0.02241,32,32,"[17020962, 17753033, 19705747, 20155652, 39974930, 41596377, 42534611, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
88639412,large_circles,circles,high_degree,10,10,10,18,0.03,medium,bucket,1.1,high,0.695,2.4,harm_aware_resilience_greedy_blocking,44.71875,9.518180820358072,107.32500000000007,22.84363396885943,0.44905857740585803,0.3679780505952381,0.8831473214285713,0.02171,32,32,"[14230524, 14306161, 17284200, 17753033, 19562228, 21447363, 42534611, 168767461, 171005817, 177345928]","[15439395, 15820664, 17208738, 19332267, 20984259, 33350096, 36695656, 44527648, 46248315, 63228090]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.86,low,0.15,1.0,greedy_blocking,39.5625,7.043356512895108,39.5625,7.043356512895108,0.21385135135135136,0.39810327540106955,0.39810327540106955,0.0241,32,32,"[1699641, 4777911, 14575292, 14631169, 16358736, 16371223, 18701960, 18794066, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.86,low,0.15,1.0,fairness_aware_greedy_blocking,40.21875,6.592930598070008,40.21875,6.592930598070008,0.21739864864864866,0.3761071189839572,0.3761071189839572,0.02406,32,32,"[4777911, 10779412, 10940912, 14575292, 14631169, 16358736, 18701960, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.86,low,0.15,1.0,harm_aware_greedy_blocking,39.375,6.996542925132798,39.375,6.996542925132798,0.21283783783783783,0.3710227272727272,0.3710227272727272,0.0237,32,32,"[1699641, 4777911, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 19576151, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.86,low,0.15,1.0,harm_aware_resilience_greedy_blocking,39.1875,6.517655921393628,39.1875,6.517655921393628,0.21182432432432433,0.35902792060880295,0.35902792060880295,0.02361,32,32,"[1699641, 4777911, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18701960, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.996,medium,0.49,1.6,greedy_blocking,45.8125,8.173274702029701,73.29999999999998,13.07723952324749,0.3962162162162161,0.45593666443850267,0.7294986631016044,0.025,32,32,"[1699641, 4777911, 10779412, 11991892, 14575292, 16358736, 16371223, 18701960, 19576151, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.996,medium,0.49,1.6,fairness_aware_greedy_blocking,46.40625,8.743142474109675,74.24999999999999,13.989027958575441,0.40135135135135125,0.3990140374331551,0.6384224598930484,0.02584,32,32,"[11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 18794066, 19576151, 27403903, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.996,medium,0.49,1.6,harm_aware_greedy_blocking,46.4375,7.670376615222674,74.29999999999998,12.272602584356246,0.4016216216216215,0.4264246323529412,0.682279411764706,0.02573,32,32,"[1699641, 4777911, 10779412, 10940912, 11991892, 14575292, 16358736, 18396537, 19576151, 32805127]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
18534908,moderate_large_circles,circles,high_degree,10,10,10,19,0.03,medium,linear,0.996,medium,0.49,1.6,harm_aware_resilience_greedy_blocking,46.21875,8.09115157879073,73.94999999999999,12.945842526065139,0.39972972972972964,0.44860011312217196,0.7177601809954752,0.02566,32,32,"[1699641, 4777911, 10940912, 11991892, 14575292, 14631169, 16358736, 16371223, 18396537, 27403903]","[12771872, 15578561, 16371487, 18729482, 18794888, 19597106, 20101482, 30007505, 33080180, 114636253]"
