ego_id,ego_label,matrix_role,community_source,scenario_name,seed_strategy,propagation_regime,budget_k,budget_requested,budget_sanitized,max_blockers_graph,greedy_pool_size,pool_may_limit_greedy_family,method,n_nodes,n_edges,n_seeds,p,mean_infected,std_infected,mean_infected_stderr,mean_infection_rate,mean_steps,mean_worst_community_infection_rate,runtime_seconds,random_seed_eval,random_seed_seed_selection,random_seed_random_block,random_seed_greedy,n_runs_greedy_oracle,n_runs_eval,blocked_nodes_json,seeds_json,fairness_lambda
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,20,20,20,151,16,True,random_blocking,161,2520,10,0.03,45.25,12.661719825370099,1.827561837395262,0.281055900621118,7.916666666666667,0.3376629349311468,0.02455,314159265,8487612,16896885,20125443,48,48,"[13058232, 13992132, 15962096, 17220817, 19397785, 20196258, 20793816, 24940327, 27942809, 28706024, 53297035, 56481539, 89503894, 115818447, 133093395, 205302299, 227347152, 238268257, 498184465, 498189324]","[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,20,20,20,151,16,True,top_degree_blocking,161,2520,10,0.03,21.229166666666668,5.900737722841006,0.8516981281749086,0.13185817805383024,4.8125,0.22760958688111002,0.00918,314159265,8487612,16896885,20125443,48,48,"[7081402, 14220046, 14824849, 15485441, 16312576, 17446621, 18671559, 18713254, 19637934, 19678610, 20108560, 22677790, 27942809, 31353077, 33051095, 48410093, 50735431, 92367751, 105570240, 115485051]","[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,20,20,20,151,16,True,pagerank_blocking,161,2520,10,0.03,21.020833333333332,6.312734793049356,0.9111647830224405,0.13056418219461696,4.583333333333333,0.2226164196362872,0.00913,314159265,8487612,16896885,20125443,48,48,"[7081402, 14075928, 14220046, 14824849, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 31353077, 33051095, 48410093, 50735431, 92367751, 105570240, 115485051]","[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,16,20,20,151,16,True,greedy_blocking,161,2520,10,0.03,22.875,6.752855975791816,0.9746908038555445,0.1420807453416149,4.729166666666667,0.21377325764742983,0.01027,314159265,8487612,16896885,20125443,48,48,"[7081402, 14220046, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 31353077, 33051095, 50735431, 105570240, 115485051]","[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
17602896,medium_circles,primary,circles,matrix_medium_random_b20,random,medium,16,20,20,151,16,True,fairness_aware_greedy_blocking,161,2520,10,0.03,22.875,6.752855975791816,0.9746908038555445,0.1420807453416149,4.729166666666667,0.21377325764742983,0.01031,314159265,8487612,16896885,20125443,48,48,"[7081402, 14220046, 15485441, 16312576, 17446621, 18671559, 19637934, 19678610, 20108560, 22677790, 27942809, 31353077, 33051095, 50735431, 105570240, 115485051]","[14506253, 16284388, 26053643, 32498545, 57034964, 74033417, 142157505, 191229716, 275197798, 348785149]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,0,5,5,151,15,False,no_intervention,161,2520,10,0.05,104.95833333333333,7.19029586386604,1.0378298131390278,0.6519151138716356,7.770833333333333,0.7303098391674551,0.04229,314159265,1776858,11712703,20013491,48,48,[],"[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,5,5,5,151,15,False,random_blocking,161,2520,10,0.05,97.5,6.662055142627105,0.9615848324879726,0.6055900621118012,8.0625,0.6937480290129296,0.03944,314159265,1776858,11712703,20013491,48,48,"[6427882, 14824849, 16303106, 44039298, 115485051]","[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,5,5,5,151,15,False,top_degree_blocking,161,2520,10,0.05,89.70833333333333,7.151724485784347,1.0322625142594077,0.5571946169772256,8.708333333333334,0.6723168296015979,0.0356,314159265,1776858,11712703,20013491,48,48,"[15485441, 16312576, 17446621, 19678610, 50735431]","[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,5,5,5,151,15,False,pagerank_blocking,161,2520,10,0.05,89.77083333333333,7.220654721694499,1.0422117368239154,0.5575828157349896,8.75,0.6622188058446337,0.03542,314159265,1776858,11712703,20013491,48,48,"[16312576, 17446621, 19678610, 50735431, 115485051]","[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,5,5,5,151,15,False,greedy_blocking,161,2520,10,0.05,89.70833333333333,7.151724485784347,1.0322625142594077,0.5571946169772256,8.708333333333334,0.6723168296015979,0.03556,314159265,1776858,11712703,20013491,48,48,"[15485441, 16312576, 17446621, 19678610, 50735431]","[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b5,random,high,5,5,5,151,15,False,fairness_aware_greedy_blocking,161,2520,10,0.05,90.125,6.9942985899915255,1.0095400434310569,0.5597826086956522,8.625,0.6579746136865342,0.03575,314159265,1776858,11712703,20013491,48,48,"[16312576, 17446621, 19678610, 20108560, 50735431]","[12925072, 14075928, 23779324, 31353077, 69491538, 169686021, 178456134, 180509355, 252192024, 498184465]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b10,random,high,0,10,10,151,15,False,no_intervention,161,2520,10,0.05,105.83333333333333,6.984278190620104,1.0080937233624374,0.6573498964803313,8.416666666666666,0.752936770734784,0.04328,314159265,4213629,16702061,20222316,48,48,[],"[12925072, 16986563, 24447643, 30271564, 42343110, 44039298, 56481539, 65184105, 498306782, 500042487]",3.0
17602896,medium_circles,primary,circles,matrix_high_random_b10,random,high,10,10,10,151,15,False,random_blocking,161,2520,10,0.05,95.04166666666667,6.835322319077116,0.9865937952292576,0.5903209109730849,8.604166666666666,0.6831769683590876,0.03923,314159265,4213629,16702061,20222316,48,48,"[17501358, 18671559, 23779324, 26053643, 26658046, 54964162, 62290422, 96164737, 123015364, 498213642]","[12925072, 16986563, 24447643, 30271564, 42343110, 44039298, 56481539, 65184105, 498306782, 500042487]",3.0
