ego_label,seed_strategy,propagation_regime,propagation_mode,severity_regime,budget_requested,method,mean_total_harm,mean_worst_community_harm_rate,delta_harm_vs_greedy,delta_worst_harm_vs_greedy,delta_harm_vs_fairness,delta_worst_harm_vs_fairness
large_circles,community_concentrated,medium,bucket,high,20,harm_aware_resilience_greedy_blocking,70.42500000000001,0.7153273809523808,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,bucket,medium,20,harm_aware_greedy_blocking,43.55000000000002,0.4447420634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,bucket,medium,20,harm_aware_resilience_greedy_blocking,43.55000000000002,0.4447420634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,constant,high,20,harm_aware_greedy_blocking,65.325,0.6671130952380951,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,constant,high,20,harm_aware_resilience_greedy_blocking,65.325,0.6671130952380951,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,constant,medium,20,harm_aware_greedy_blocking,43.55000000000002,0.4447420634920635,0.0,0.0,0.0,0.0
large_circles,community_concentrated,medium,constant,medium,20,harm_aware_resilience_greedy_blocking,43.55000000000002,0.4447420634920635,0.0,0.0,0.0,0.0
large_circles,high_degree,high,bucket,high,20,harm_aware_greedy_blocking,177.82500000000024,1.338317481884058,0.0,0.0,0.0,0.0
large_circles,high_degree,high,bucket,high,20,harm_aware_resilience_greedy_blocking,177.82500000000024,1.338317481884058,0.0,0.0,0.0,0.0
large_circles,high_degree,high,bucket,medium,20,harm_aware_greedy_blocking,107.09999999999988,0.8220772946859903,0.0,0.0,0.0,0.0
large_circles,high_degree,high,bucket,medium,20,harm_aware_resilience_greedy_blocking,107.09999999999988,0.8220772946859903,0.0,0.0,0.0,0.0
large_circles,high_degree,high,constant,high,20,harm_aware_greedy_blocking,160.6500000000002,1.2331159420289852,0.0,0.0,0.0,0.0
large_circles,high_degree,high,constant,high,20,harm_aware_resilience_greedy_blocking,160.6500000000002,1.2331159420289852,0.0,0.0,0.0,0.0
large_circles,high_degree,high,constant,medium,20,harm_aware_greedy_blocking,107.09999999999988,0.8220772946859903,0.0,0.0,0.0,0.0
large_circles,high_degree,high,constant,medium,20,harm_aware_resilience_greedy_blocking,107.09999999999988,0.8220772946859903,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,bucket,high,20,harm_aware_greedy_blocking,98.47500000000004,0.8281249999999999,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,bucket,high,20,harm_aware_resilience_greedy_blocking,98.47500000000004,0.8281249999999999,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,bucket,medium,20,harm_aware_greedy_blocking,59.35000000000002,0.5330109126984126,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,bucket,medium,20,harm_aware_resilience_greedy_blocking,59.35000000000002,0.5330109126984126,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,constant,high,20,harm_aware_greedy_blocking,89.02500000000003,0.799516369047619,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,constant,high,20,harm_aware_resilience_greedy_blocking,89.02500000000003,0.799516369047619,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,constant,medium,20,harm_aware_greedy_blocking,59.35000000000002,0.5330109126984126,0.0,0.0,0.0,0.0
large_circles,high_degree,medium,constant,medium,20,harm_aware_resilience_greedy_blocking,59.35000000000002,0.5330109126984126,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,bucket,high,20,harm_aware_greedy_blocking,151.7250000000002,1.3582620320855625,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,bucket,high,20,harm_aware_resilience_greedy_blocking,151.7250000000002,1.3582620320855625,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,bucket,medium,20,harm_aware_greedy_blocking,94.09999999999992,0.8429411764705882,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,bucket,medium,20,harm_aware_resilience_greedy_blocking,94.09999999999992,0.8429411764705882,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,constant,high,20,harm_aware_greedy_blocking,141.15000000000015,1.2644117647058837,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,constant,high,20,harm_aware_resilience_greedy_blocking,141.15000000000015,1.2644117647058837,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,constant,medium,20,harm_aware_greedy_blocking,94.09999999999992,0.8429411764705882,0.0,0.0,0.0,0.0
moderate_large_circles,community_concentrated,high,constant,medium,20,harm_aware_resilience_greedy_blocking,94.09999999999992,0.8429411764705882,0.0,0.0,0.0,0.0
